Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
247,Exit short,2025-08-14 21:00,MR TP1 | IN:MR | OUT:MR,3340.565,0.2,670.104,1.99,0.30,0,3.31,0.49,-1.11,-0.17,612.5,0.61,2
247,Entry short,2025-08-14 19:00,MR-S | IN:MR,3350.52,0.2,670.104,1.99,0.30,0,3.31,0.49,-1.11,-0.17,612.5,0.61,2
248,Exit short,2025-08-18 10:00,RUN EXIT | IN:MR | OUT:MR,3346.895,0.8,2680.416,2.9,0.11,0,21.75,0.81,-4.42,-0.17,615.4,0.62,37
248,Entry short,2025-08-14 19:00,MR-S | IN:MR,3350.52,0.8,2680.416,2.9,0.11,0,21.75,0.81,-4.42,-0.17,615.4,0.62,37
249,Exit long,2025-08-19 21:00,MR FAIL | IN:MR | OUT:MR,3325.19,1,3343.483,-18.29,-0.55,0,1.37,0.04,-22.7,-0.68,597.1,0.60,4
249,Entry long,2025-08-19 17:00,MR-L | IN:MR,3343.483,1,3343.483,-18.29,-0.55,0,1.37,0.04,-22.7,-0.68,597.1,0.60,4
250,Exit long,2025-08-21 02:00,MR TP1 | IN:HYBRID | OUT:TREND,3348.79,0.2,665.32,4.44,0.67,0,4.74,0.71,-0.21,-0.03,601.54,0.60,9
250,Entry long,2025-08-20 17:00,MR-L | IN:HYBRID,3326.6,0.2,665.32,4.44,0.67,0,4.74,0.71,-0.21,-0.03,601.54,0.60,9
251,Exit long,2025-08-22 00:00,RUN EXIT | IN:HYBRID | OUT:MR,3337.12,0.8,2661.28,8.42,0.32,0,20.42,0.77,-1.32,-0.05,609.96,0.61,30
251,Entry long,2025-08-20 17:00,MR-L | IN:HYBRID,3326.6,0.8,2661.28,8.42,0.32,0,20.42,0.77,-1.32,-0.05,609.96,0.61,30
252,Exit short,2025-08-27 02:00,MR FAIL | IN:MR | OUT:MR,3389.653,1,3365.605,-24.05,-0.71,0,14.45,0.43,-25.36,-0.75,585.91,0.59,22
252,Entry short,2025-08-26 03:00,MR-S | IN:MR,3365.605,1,3365.605,-24.05,-0.71,0,14.45,0.43,-25.36,-0.75,585.91,0.59,22
253,Exit short,2025-08-27 23:00,MR FAIL | IN:MR | OUT:MR,3395.44,1,3374.96,-20.48,-0.61,0,1.34,0.04,-23.86,-0.71,565.43,0.57,12
253,Entry short,2025-08-27 11:00,MR-S | IN:MR,3374.96,1,3374.96,-20.48,-0.61,0,1.34,0.04,-23.86,-0.71,565.43,0.57,12
254,Exit short,2025-08-29 22:00,MR FAIL | IN:MR | OUT:MR,3445.43,1,3410.193,-35.24,-1.03,0,6.01,0.18,-37.57,-1.10,530.19,0.53,9
254,Entry short,2025-08-29 13:00,MR-S | IN:MR,3410.193,1,3410.193,-35.24,-1.03,0,6.01,0.18,-37.57,-1.10,530.19,0.53,9
255,Exit short,2025-09-02 23:00,MR FAIL | IN:TREND | OUT:HYBRID,3527.6,1,3470.51,-57.09,-1.65,0,3.53,0.10,-58.42,-1.68,473.1,0.47,27
255,Entry short,2025-09-01 17:00,MR-S | IN:TREND,3470.51,1,3470.51,-57.09,-1.65,0,3.53,0.10,-58.42,-1.68,473.1,0.47,27
256,Exit long,2025-09-04 10:00,TF EXIT | IN:HYBRID | OUT:MR,3528.92,1,3527.6,1.32,0.04,0,50.78,1.44,-17.17,-0.49,474.42,0.47,33
