Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
210,Entry short,2026-05-06 11:00,MR-S | IN:HYBRID,155.931,0.2,31.1862,-0.01,-0.03,0,0.04,0.13,-0.13,-0.41,16.31,0.02,4
211,Exit short,2026-05-07 18:00,RUN EXIT | IN:HYBRID | OUT:MR,156.403,0.8,124.7448,-0.38,-0.30,0,0.26,0.21,-0.51,-0.41,15.93,0.02,31
211,Entry short,2026-05-06 11:00,MR-S | IN:HYBRID,155.931,0.8,124.7448,-0.38,-0.30,0,0.26,0.21,-0.51,-0.41,15.93,0.02,31
212,Exit short,2026-05-15 00:00,MR FAIL | IN:MR | OUT:HYBRID,158.193,1,157.901,-0.29,-0.18,0,0.59,0.37,-0.3,-0.19,15.64,0.02,9
212,Entry short,2026-05-14 15:00,MR-S | IN:MR,157.901,1,157.901,-0.29,-0.18,0,0.59,0.37,-0.3,-0.19,15.64,0.02,9
213,Exit long,2026-05-18 13:00,TF EXIT | IN:HYBRID | OUT:HYBRID,158.894,1,158.193,0.7,0.44,0,0.88,0.56,-0.03,-0.02,16.34,0.02,37
213,Entry long,2026-05-15 00:00,TF-L | IN:HYBRID,158.193,1,158.193,0.7,0.44,0,0.88,0.56,-0.03,-0.02,16.34,0.02,37
214,Exit short,2026-05-21 05:00,MR TP1 | IN:HYBRID | OUT:MR,158.854,0.2,31.7788,0.01,0.03,0,0.06,0.19,-0.07,-0.22,16.35,0.02,64
214,Entry short,2026-05-18 13:00,MR-S | IN:HYBRID,158.894,0.2,31.7788,0.01,0.03,0,0.06,0.19,-0.07,-0.22,16.35,0.02,64
215,Exit short,2026-05-21 17:00,RUN EXIT | IN:HYBRID | OUT:MR,159.128,0.8,127.1152,-0.19,-0.15,0,0.24,0.19,-0.29,-0.22,16.16,0.02,76
215,Entry short,2026-05-18 13:00,MR-S | IN:HYBRID,158.894,0.8,127.1152,-0.19,-0.15,0,0.24,0.19,-0.29,-0.22,16.16,0.02,76
216,Exit short,2026-05-25 10:00,MR TP1 | IN:MR | OUT:HYBRID,158.885,0.2,31.7768,-0.0002,0.00,0,0.03,0.08,-0.02,-0.05,16.16,0.02,5
216,Entry short,2026-05-25 05:00,MR-S | IN:MR,158.884,0.2,31.7768,-0.0002,0.00,0,0.03,0.08,-0.02,-0.05,16.16,0.02,5
217,Exit short,2026-05-26 08:00,RUN EXIT | IN:MR | OUT:MR,158.967,0.8,127.1072,-0.07,-0.05,0,0.1,0.08,-0.13,-0.10,16.1,0.02,27
217,Entry short,2026-05-25 05:00,MR-S | IN:MR,158.884,0.8,127.1072,-0.07,-0.05,0,0.1,0.08,-0.13,-0.10,16.1,0.02,27
218,Exit short,2026-05-29 06:00,MR TP1 | IN:HYBRID | OUT:HYBRID,159.273,0.2,31.8984,0.04,0.14,0,0.08,0.24,-0.01,-0.02,16.14,0.02,17
218,Entry short,2026-05-28 13:00,MR-S | IN:HYBRID,159.492,0.2,31.8984,0.04,0.14,0,0.08,0.24,-0.01,-0.02,16.14,0.02,17
219,Exit short,2026-06-01 06:00,RUN EXIT | IN:HYBRID | OUT:MR,159.363,0.8,127.5936,0.1,0.08,0,0.32,0.25,-0.03,-0.02,16.24,0.02,41
219,Entry short,2026-05-28 13:00,MR-S | IN:HYBRID,159.492,0.8,127.5936,0.1,0.08,0,0.32,0.25,-0.03,-0.02,16.24,0.02,41
220,Exit short,2026-06-04 00:00,MR FAIL | IN:HYBRID | OUT:MR,160.048,1,159.888,-0.16,-0.10,0,0.52,0.32,-0.16,-0.10,16.08,0.02,14
220,Entry short,2026-06-03 10:00,MR-S | IN:HYBRID,159.888,1,159.888,-0.16,-0.10,0,0.52,0.32,-0.16,-0.10,16.08,0.02,14
221,Exit short,2026-06-05 21:00,MR FAIL | IN:MR | OUT:MR,160.267,1,159.869,-0.4,-0.25,0,0.15,0.09,-0.41,-0.26,15.68,0.02,34
221,Entry short,2026-06-04 11:00,MR-S | IN:MR,159.869,1,159.869,-0.4,-0.25,0,0.15,0.09,-0.41,-0.26,15.68,0.02,34
222,Exit short,2026-06-09 23:00,MR FAIL | IN:HYBRID | OUT:MR,160.402,1,160.009,-0.39,-0.25,0,0.13,0.08,-0.44,-0.27,15.29,0.02,31
222,Entry short,2026-06-08 16:00,MR-S | IN:HYBRID,160.009,1,160.009,-0.39,-0.25,0,0.13,0.08,-0.44,-0.27,15.29,0.02,31
223,Exit short,2026-06-12 05:00,MR TP1 | IN:MR | OUT:TREND,160.018,0.2,32.1018,0.1,0.31,0,0.19,0.59,-0.01,-0.03,15.39,0.02,7
223,Entry short,2026-06-11 22:00,MR-S | IN:MR,160.509,0.2,32.1018,0.1,0.31,0,0.19,0.59,-0.01,-0.03,15.39,0.02,7
224,Exit short,2026-06-13 01:00,RUN EXIT | IN:MR | OUT:MR,160.235,0.8,128.4072,0.22,0.17,0,0.75,0.59,-0.04,-0.03,15.61,0.02,27
224,Entry short,2026-06-11 22:00,MR-S | IN:MR,160.509,0.8,128.4072,0.22,0.17,0,0.75,0.59,-0.04,-0.03,15.61,0.02,27
225,Exit long,2026-06-16 07:00,MR TP1 | IN:MR | OUT:MR,160.2,0.2,32.0272,0.01,0.04,0,0.05,0.16,-0.02,-0.07,15.62,0.02,16
225,Entry long,2026-06-15 15:00,MR-L | IN:MR,160.136,0.2,32.0272,0.01,0.04,0,0.05,0.16,-0.02,-0.07,15.62,0.02,16
226,Exit long,2026-06-17 13:00,RUN EXIT | IN:MR | OUT:MR,160.253,0.8,128.1088,0.09,0.07,0,0.28,0.22,-0.09,-0.07,15.72,0.02,46
226,Entry long,2026-06-15 15:00,MR-L | IN:MR,160.136,0.8,128.1088,0.09,0.07,0,0.28,0.22,-0.09,-0.07,15.72,0.02,46
227,Exit short,2026-06-22 13:00,MR FAIL | IN:HYBRID | OUT:HYBRID,161.683,1,161.346,-0.34,-0.21,0,0.21,0.13,-0.37,-0.23,15.38,0.02,27
227,Entry short,2026-06-19 10:00,MR-S | IN:HYBRID,161.346,1,161.346,-0.34,-0.21,0,0.21,0.13,-0.37,-0.23,15.38,0.02,27
228,Exit long,2026-06-23 01:00,TF EXIT | IN:HYBRID | OUT:MR,161.421,1,161.683,-0.26,-0.16,0,0.24,0.15,-0.61,-0.38,15.12,0.02,12
228,Entry long,2026-06-22 13:00,TF-L | IN:HYBRID,161.683,1,161.683,-0.26,-0.16,0,0.24,0.15,-0.61,-0.38,15.12,0.02,12
229,Exit short,2026-06-24 15:00,MR FAIL | IN:MR | OUT:HYBRID,161.757,1,161.421,-0.34,-0.21,0,0.15,0.09,-0.34,-0.21,14.78,0.01,38
229,Entry short,2026-06-23 01:00,MR-S | IN:MR,161.421,1,161.421,-0.34,-0.21,0,0.15,0.09,-0.34,-0.21,14.78,0.01,38
230,Exit long,2026-06-26 10:00,TF EXIT | IN:HYBRID | OUT:MR,161.651,1,161.757,-0.11,-0.07,0,0.19,0.12,-0.2,-0.12,14.67,0.01,43
230,Entry long,2026-06-24 15:00,TF-L | IN:HYBRID,161.757,1,161.757,-0.11,-0.07,0,0.19,0.12,-0.2,-0.12,14.67,0.01,43
231,Exit short,2026-06-26 17:00,MR TP1 | IN:MR | OUT:MR,161.62,0.2,32.3302,0.01,0.02,0,0.02,0.07,-0.02,-0.06,14.68,0.01,7
231,Entry short,2026-06-26 10:00,MR-S | IN:MR,161.651,0.2,32.3302,0.01,0.02,0,0.02,0.07,-0.02,-0.06,14.68,0.01,7
232,Exit short,2026-06-29 06:00,RUN EXIT | IN:MR | OUT:MR,161.793,0.8,129.3208,-0.11,-0.09,0,0.1,0.07,-0.18,-0.14,14.57,0.01,20
232,Entry short,2026-06-26 10:00,MR-S | IN:MR,161.651,0.8,129.3208,-0.11,-0.09,0,0.1,0.07,-0.18,-0.14,14.57,0.01,20
233,Exit short,2026-07-02 15:00,MR TP1 | IN:TREND | OUT:TREND,161.028,0.2,32.527,0.32,0.99,0,0.35,1.07,-0.04,-0.13,14.89,0.01,33
233,Entry short,2026-07-01 06:00,MR-S | IN:TREND,162.635,0.2,32.527,0.32,0.99,0,0.35,1.07,-0.04,-0.13,14.89,0.01,33
234,Exit short,2026-07-03 12:00,RUN EXIT | IN:TREND | OUT:MR,161.164,0.8,130.108,1.18,0.90,0,1.6,1.23,-0.16,-0.13,16.06,0.02,54
234,Entry short,2026-07-01 06:00,MR-S | IN:TREND,162.635,0.8,130.108,1.18,0.90,0,1.6,1.23,-0.16,-0.13,16.06,0.02,54
235,Exit short,2026-07-08 06:00,MR FAIL | IN:MR | OUT:MR,162.36,1,161.873,-0.49,-0.30,0,0.2,0.13,-0.49,-0.31,15.58,0.02,20
235,Entry short,2026-07-07 10:00,MR-S | IN:MR,161.873,1,161.873,-0.49,-0.30,0,0.2,0.13,-0.49,-0.31,15.58,0.02,20
236,Exit short,2026-07-10 09:00,MR TP1 | IN:MR | OUT:MR,161.454,0.2,32.4698,0.18,0.55,0,0.21,0.65,-0.03,-0.10,15.76,0.02,19
236,Entry short,2026-07-09 14:00,MR-S | IN:MR,162.349,0.2,32.4698,0.18,0.55,0,0.21,0.65,-0.03,-0.10,15.76,0.02,19
237,Exit short,2026-07-13 05:00,RUN EXIT | IN:MR | OUT:MR,162.026,0.8,129.8792,0.26,0.20,0,0.86,0.66,-0.13,-0.10,16.02,0.02,39
237,Entry short,2026-07-09 14:00,MR-S | IN:MR,162.349,0.8,129.8792,0.26,0.20,0,0.86,0.66,-0.13,-0.10,16.02,0.02,39
238,Exit short,2026-07-15 16:00,MR FAIL | IN:MR | OUT:MR,162.365,1,161.911,-0.45,-0.28,0,0.08,0.05,-0.46,-0.29,15.56,0.02,21
238,Entry short,2026-07-14 19:00,MR-S | IN:MR,161.911,1,161.911,-0.45,-0.28,0,0.08,0.05,-0.46,-0.29,15.56,0.02,21
239,Exit short,2026-07-16 01:00,MR TP1 | IN:MR | OUT:MR,162.046,0.2,32.4278,0.02,0.06,0,0.05,0.15,-0.01,-0.05,15.58,0.02,4
239,Entry short,2026-07-15 21:00,MR-S | IN:MR,162.139,0.2,32.4278,0.02,0.06,0,0.05,0.15,-0.01,-0.05,15.58,0.02,4
240,Exit short,2026-07-16 19:00,RUN EXIT | IN:MR | OUT:MR,162.294,0.8,129.7112,-0.12,-0.10,0,0.2,0.15,-0.13,-0.10,15.46,0.02,22
240,Entry short,2026-07-15 21:00,MR-S | IN:MR,162.139,0.8,129.7112,-0.12,-0.10,0,0.2,0.15,-0.13,-0.10,15.46,0.02,22
241,Exit short,2026-07-20 23:00,MR FAIL | IN:MR | OUT:MR,162.525,1,162.36,-0.16,-0.10,0,0.16,0.10,-0.23,-0.14,15.29,0.02,15
241,Entry short,2026-07-20 08:00,MR-S | IN:MR,162.36,1,162.36,-0.16,-0.10,0,0.16,0.10,-0.23,-0.14,15.29,0.02,15
242,Exit short,2026-07-23 18:00,MR FAIL | IN:TREND | OUT:HYBRID,163.491,1,163.174,-0.32,-0.19,0,0.5,0.30,-0.47,-0.29,14.97,0.01,31
242,Entry short,2026-07-22 11:00,MR-S | IN:TREND,163.174,1,163.174,-0.32,-0.19,0,0.5,0.30,-0.47,-0.29,14.97,0.01,31
243,Exit long,2026-07-24 16:00,TF EXIT | IN:HYBRID | OUT:HYBRID,163.69,1,163.491,0.2,0.12,0,0.5,0.30,-0.03,-0.02,15.17,0.02,22
