Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
207,Exit short,2026-08-21 16:00,MR FAIL | IN:TREND | OUT:TREND,77895,1,71884,-6011,-8.36,0,801,1.11,-7577,-10.54,-12565.98,-12.57,21
207,Entry short,2026-08-20 19:00,MR-S | IN:TREND,71884,1,71884,-6011,-8.36,0,801,1.11,-7577,-10.54,-12565.98,-12.57,21
208,Exit short,2026-08-24 19:00,MR FAIL | IN:HYBRID | OUT:MR,79140,1,77186,-1954,-2.53,0,1618,2.10,-2107,-2.73,-14519.98,-14.52,69
208,Entry short,2026-08-21 22:00,MR-S | IN:HYBRID,77186,1,77186,-1954,-2.53,0,1618,2.10,-2107,-2.73,-14519.98,-14.52,69
209,Exit short,2026-08-26 22:00,MR TP1 | IN:MR | OUT:MR,78000,0.2,15787,187,1.18,0,261.6,1.66,-57.8,-0.37,-14332.98,-14.33,20
209,Entry short,2026-08-26 02:00,MR-S | IN:MR,78935,0.2,15787,187,1.18,0,261.6,1.66,-57.8,-0.37,-14332.98,-14.33,20
210,Exit short,2026-08-27 14:00,RUN EXIT | IN:MR | OUT:MR,79064,0.8,63148,-103.2,-0.16,0,1046.4,1.66,-231.2,-0.37,-14436.18,-14.44,36
210,Entry short,2026-08-26 02:00,MR-S | IN:MR,78935,0.8,63148,-103.2,-0.16,0,1046.4,1.66,-231.2,-0.37,-14436.18,-14.44,36
211,Exit short,2026-08-29 01:00,MR TP1 | IN:MR | OUT:TREND,77550,0.2,15910.4,400.4,2.52,0,535,3.36,-59.4,-0.37,-14035.78,-14.04,8
211,Entry short,2026-08-28 17:00,MR-S | IN:MR,79552,0.2,15910.4,400.4,2.52,0,535,3.36,-59.4,-0.37,-14035.78,-14.04,8
212,Exit short,2026-08-29 23:00,RUN EXIT | IN:MR | OUT:MR,78017,0.8,63641.6,1228,1.93,0,2140,3.36,-237.6,-0.37,-12807.78,-12.81,30
212,Entry short,2026-08-28 17:00,MR-S | IN:MR,79552,0.8,63641.6,1228,1.93,0,2140,3.36,-237.6,-0.37,-12807.78,-12.81,30
