Trade number,Type,Date and time,Signal,Price CAD,Size (qty),Size (value),Net PnL CAD,Return %,Commission CAD,Favorable excursion CAD,Favorable excursion %,Adverse excursion CAD,Adverse excursion %,Cumulative PnL CAD,Cumulative PnL %,Duration (bars)
143,Entry short,2025-10-17 19:00,MR-S | IN:MR,1.63928,0.2,0.327856,0.001,0.28,0,0.001,0.39,-0.0001,-0.05,-0.13,0.00,15
144,Exit short,2025-10-23 14:00,RUN EXIT | IN:MR | OUT:MR,1.62326,0.8,1.311424,0.01,0.98,0,0.01,1.08,-0.001,-0.05,-0.12,0.00,91
144,Entry short,2025-10-17 19:00,MR-S | IN:MR,1.63928,0.8,1.311424,0.01,0.98,0,0.01,1.08,-0.001,-0.05,-0.12,0.00,91
145,Exit long,2025-10-24 16:00,MR TP1 | IN:MR | OUT:TREND,1.6279,0.2,0.324634,0.001,0.29,0,0.001,0.34,-0.0002,-0.05,-0.12,0.00,21
145,Entry long,2025-10-23 19:00,MR-L | IN:MR,1.62317,0.2,0.324634,0.001,0.29,0,0.001,0.34,-0.0002,-0.05,-0.12,0.00,21
146,Exit long,2025-10-27 11:00,RUN EXIT | IN:MR | OUT:MR,1.62621,0.8,1.298536,0.002,0.19,0,0.01,0.60,-0.001,-0.05,-0.12,0.00,40
146,Entry long,2025-10-23 19:00,MR-L | IN:MR,1.62317,0.8,1.298536,0.002,0.19,0,0.01,0.60,-0.001,-0.05,-0.12,0.00,40
147,Exit short,2025-10-29 04:00,MR TP1 | IN:HYBRID | OUT:MR,1.62492,0.2,0.324964,-0.00002,-0.01,0,0.0002,0.07,-0.0004,-0.13,-0.12,0.00,6
147,Entry short,2025-10-28 22:00,MR-S | IN:HYBRID,1.62482,0.2,0.324964,-0.00002,-0.01,0,0.0002,0.07,-0.0004,-0.13,-0.12,0.00,6
148,Exit short,2025-10-30 10:00,RUN EXIT | IN:HYBRID | OUT:MR,1.61891,0.8,1.299856,0.005,0.36,0,0.01,0.63,-0.002,-0.13,-0.11,0.00,36
148,Entry short,2025-10-28 22:00,MR-S | IN:HYBRID,1.62482,0.8,1.299856,0.005,0.36,0,0.01,0.63,-0.002,-0.13,-0.11,0.00,36
